"No.","Name","Price","Quantity"
84,"มันฝรั่ง – เบอร์กลาง","28-40","กิโลกรัม"
85,"มันฝรั่ง – เบอร์เล็ก","28-30","กิโลกรัม"
86,"มันฝรั่ง – เบอร์ใหญ่","35-40","กิโลกรัม"
87,"มันไข่ เหลือง ขนาดเล็ก","12-14","กิโลกรัม"
88,"มันฝรั่ง ล้าง เบอร์ O","35-38","กิโลกรัม"
89,"มันม่วง ขนาดเล็ก","13-15","กิโลกรัม"
90,"มันฝรั่ง ล้าง คละขนาด","28-40","กิโลกรัม"
91,"มันฝรั่ง ล้าง เบอร์ B","30-36","กิโลกรัม"
92,"ขิงแก่ ปอก ล้าง ตัดแต่ง","60-70","กิโลกรัม"
93,"ขิงซอย","50-60","กิโลกรัม"
94,"ขิงกะเทย","40-60","กิโลกรัม"
95,"ขิงหัว","50-70","กิโลกรัม"
96,"ขิง ปอกเปลือก","0-0","กิโลกรัม"
97,"พริกหวานเขียว","100-120","กิโลกรัม"
98,"พริกหวานแดง","120-120","กิโลกรัม"
99,"กะหล่ำดอกเจดีย์","60-75","กิโลกรัม"
100,"ดอกกุยช่ายขาว","80-90","กิโลกรัม"
101,"ใบกุ่ยช่าย","40-60","กิโลกรัม"
102,"– พริกหวานเหลือง","120-120",""
103,"ฟิลเลย์ไอซ์เบิร์ก (ไฮโดร)","120-130","กิโลกรัม"
104,"พริกเหลือง","100-120","กิโลกรัม"
105,"เรดคอรัล (ไฮโดร)","120-140","กิโลกรัม"
106,"เบบี้คอส (ไฮโดร)","55-70","กิโลกรัม"
107,"แตงโมอ่อน","25-30","กิโลกรัม"
108,"ยอดมะขามอ่อน","80-100","กิโลกรัม"
109,"แตงไทยอ่อน ขนาดใหญ่","26-30","กิโลกรัม"
110,"โต้วเหมี่ยว ( ต้นอ่อนถั่วลันเตา )","40-50","กิโลกรัม"
111,"ต้นอ่อนทานตะวัน","40-50","กิโลกรัม"
112,"ใบเตย","18-20","กิโลกรัม"
113,"สะตอแกะ","500-600","กิโลกรัม"
114,"หอมแขก ตัดจุก ไม่ปอกเปลือก ขนาดเล็ก","28-35","กิโลกรัม"
115,"หอมแขก ติดจุก ไม่ปอกเปลือก ขนาดเล็ก","28-35","กิโลกรัม"
116,"หอมแดง ติดจุก ไม่ปอกเปลือก คละขนาด","75-80","กิโลกรัม"
117,"หอมแขก ตัดจุก ปอกเปลือก ขนาดใหญ่","28-40","กิโลกรัม"
118,"หอมแขก ตัดจุก ปอกเปลือก ขนาดเล็ก","28-33","กิโลกรัม"
119,"สะตอ (ร้อยฝัก)","60-80","กิโลกรัม"
120,"หอมแขก ตัดจุก ไม่ปอกเปลือก ขนาดใหญ่","28-40","กิโลกรัม"
121,"หอมแขก ติดจุก ไม่ปอกเปลือก ขนาดใหญ่","28-40","กิโลกรัม"
122,"หอมแขก ติดจุก ไม่ปอกเปลือก คละขนาด","28-40","กิโลกรัม"
123,"หน่อไม้ฝรั่ง C (ดอกตูม)","90-100","กิโลกรัม"
124,"หน่อไม้ฝรั่ง B (ดอกตูม)","100-120","กิโลกรัม"
125,"หน่อไม้ฝรั่ง เบอร์ Jumbo","120-180","กิโลกรัม"
126,"ผักหวานป่า","80-160","กิโลกรัม"
127,"หน่อไม้สด หั่นเส้น","50-70","กิโลกรัม"
128,"แตงไทย – เบอร์กลาง","10-12","กิโลกรัม"
129,"ใบชะพลู","40-50","กิโลกรัม"
130,"ใบตอง","20-25","กิโลกรัม"
131,"หน่อไม้ต้ม","40-55","กิโลกรัม"
132,"ยอดมะพร้าวอ่อน","50-70","กิโลกรัม"
133,"เห็ดนางรม","50-70","กิโลกรัม"
134,"ถั่วแระ – มัด ( 5 กก )","100-130","กิโลกรัม"
135,"ถั่วลิสงแห้ง","87-90","กิโลกรัม"
136,"เห็ดนางรมหลวง (เห็ดออริจิ)","50-70","กิโลกรัม"
137,"ผักโขม","20-40","กิโลกรัม"
138,"มะเขือลาย","40-50","กิโลกรัม"
139,"เห็ดขอนขาว","100-140","กิโลกรัม"
140,"ดอกขจร","80-90","กิโลกรัม"
141,"ผักสลิด","80-90","กิโลกรัม"
142,"ยอดตำลึง","20-40","กิโลกรัม"
143,"มันสำปะหลัง – เบอร์ใหญ่","20-22","กิโลกรัม"
