"No.","Name","Price","Quantity"
402,"พีช (โดนัท) อเมริกา – กล่อง 12-16 ลูก","0-0",""
403,"พีช (ผิวมัน) อเมริกา – กล่อง 5-7 กก.","0-0",""
404,"พีช (โดนัท) อเมริกา – กล่อง 5-7 กก.","0-0",""
405,"พีช (ขน) อเมริกา – กล่อง 5-7 กก.","0-2",""
406,"พีช (ขน) จีน – กล่อง 5-7 กก.","350-470",""
407,"พีช ญี่ปุ่น – กล่อง 8-12 ลูก","0-0",""
408,"พีช (ผิวมัน) จีน – กล่อง 5-7 กก.","450-550",""
409,"กะหล่ำปลีหัวใจ","20-30","กิโลกรัม"
410,"ใบโหระพา","20-30","กิโลกรัม"
411,"ฟักแก่","12-15","กิโลกรัม"
412,"ดอกกุ้ยช่าย","80-120","กิโลกรัม"
413,"มะเขือพวง (เด็ด)","70-80","กิโลกรัม"
414,"ต้นกระเทียม","65-75","กิโลกรัม"
415,"ผักกาดหอม","40-60","กิโลกรัม"
416,"เผือกหอม – เบอร์กลาง","40-45","กิโลกรัม"
417,"ดอกหอม","50-70","กิโลกรัม"
418,"ข้าวโพดหวาน – เบอร์ใหญ่","12-15","กิโลกรัม"
419,"หัวไชเท้า","35-40","กิโลกรัม"
420,"พริกยำเขียว","50-60","กิโลกรัม"
421,"ถั่วลันเตา","140-160","กิโลกรัม"
422,"คะน้าฮ่องกง","85-90","กิโลกรัม"
423,"พริกยำขาว","50-55","กิโลกรัม"
424,"พริกยำแดง","70-80","กิโลกรัม"
425,"พริกหยวก","60-70","กิโลกรัม"
426,"ถั่วแขก","40-50","กิโลกรัม"
427,"มันญี่ปุ่น เนื้อสีม่วง ขนาดใหญ่","80-120","กิโลกรัม"
428,"เลม่อน","450-650","กล่อง"
429,"มันญี่ปุ่น เนื้อสีม่วง คละขนาด","90-135","กิโลกรัม"
430,"มันญี่ปุ่น เนื้อสีม่วง ขนาดเล็ก","90-120","กิโลกรัม"
431,"มะขามป้อม","60-110","กิโลกรัม"
432,"มันญี่ปุ่น เนื้อสีเหลือง ขนาดกลาง","100-120","กิโลกรัม"
433,"มันญี่ปุ่น เนื้อสีเหลือง ขนาดเล็ก","90-130","กิโลกรัม"
434,"มันญี่ปุ่น เนื้อสีเหลือง ขนาดใหญ่","130-170","กิโลกรัม"
435,"มันญี่ปุ่น เนื้อสีม่วง ขนาดกลาง","100-120","กิโลกรัม"
436,"มะเขือยาว","24-30","กิโลกรัม"
437,"พริกไทยเม็ด","140-250","กิโลกรัม"
438,"เสาวรส","40-70","กิโลกรัม"
439,"อะโวคาโด","45-70","กิโลกรัม"
